UNITID,PEO1ISTR,PEO2ISTR,PEO3ISTR,PEO4ISTR,PEO5ISTR,PEO6ISTR,PEO7ISTR,CNTLAFFI,PUBPRIME,PUBSECON,RELAFFIL,LEVEL1,LEVEL1A,LEVEL1B,LEVEL2,LEVEL3,LEVEL4,LEVEL5,LEVEL6,LEVEL7,LEVEL8,LEVEL12,LEVEL17,LEVEL18,LEVEL19,CALSYS,FT_UG,FT_FTUG,FTGDNIDP,PT_UG,PT_FTUG,PTGDNIDP,DOCPP,DOCPPSP,OPENADMP,NONCRDT1,NONCRDT2,NONCRDT3,NONCRDT4,NONCRDT5,NONCRDT6,NONCRDT7,NONCRDT8,NONCRDT9,VET1,VET2,VET3,VET4,VET5,VET9,CREDITS2,CREDITS3,CREDITS4,SLO5,SLO51,SLO52,SLO521,SLO53,SLO6,SLO7,SLOA,SLO8,SLO81,SLO82,SLO83,SLOB,SLO9,YRSCOLL,STUSRV2,STUSRV3,STUSRV4,STUSRV8,STUSRV9,LIBRES1,LIBRES2,LIBRES3,LIBRES4,LIBRES5,LIBRES6,LIBRES9,DSTNUGC,DSTNUGP,DSTNUGN,DSTNGC,DSTNGP,DSTNGN,DISTCRS,DISTPGS,DSTNCED1,DSTNCED2,DSTNCED3,DISTNCED,DISAB,XDISABPC,DISABPCT,ATHASSOC,ASSOC1,ASSOC2,ASSOC3,ASSOC4,ASSOC5,ASSOC6,SPORT1,CONFNO1,SPORT2,CONFNO2,SPORT3,CONFNO3,SPORT4,CONFNO4
100858,0,1,1,0,0,0,0,1,2,0,-2,1,0,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,0,1,1,1,0,1,1,0,1,1,1,0,1,0,0,-2,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,0,2,2,R,3.54,1,1,0,0,0,0,0,1,130,1,130,1,130,1,130
101028,1,1,-2,0,1,0,1,1,2,0,-2,1,0,1,1,1,0,-2,-2,-2,-2,0,-2,-2,-2,1,1,1,2,1,1,2,-2,-2,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2,1,0,0,0,0,1,1,1,1,1,1,0,1,0,0,-2,-2,-2,1,0,1,-2,0,2,1,A,,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2
101116,0,1,0,0,0,0,0,2,-2,-2,-2,0,0,0,0,1,0,1,0,1,0,0,0,1,0,2,1,1,1,1,1,1,1,2,1,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,0,2,1,A,,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
101143,1,1,-2,1,1,0,0,1,2,0,-2,1,0,1,1,1,0,-2,-2,-2,-2,0,-2,-2,-2,1,1,1,2,1,1,2,-2,-2,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,-2,-2,-2,1,1,1,-2,0,2,2,R,3.73,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2
101161,1,1,-2,0,1,0,0,1,2,0,-2,1,0,1,1,1,0,-2,-2,-2,-2,0,-2,-2,-2,1,1,1,2,1,1,2,-2,-2,1,1,0,1,0,1,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,-2,-2,-2,1,1,1,-2,0,2,1,A,,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2
101189,0,1,0,0,0,0,0,4,-2,-2,74,0,0,0,0,1,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,2,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,1,0,0,1,1,1,0,1,0,0,1,0,0,-2,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,0,2,2,R,10.00,1,0,1,0,0,0,0,1,315,1,334,1,334,1,334
101240,1,1,-2,1,1,0,0,1,2,0,-2,1,0,1,1,1,0,-2,-2,-2,-2,0,-2,-2,-2,1,1,1,2,1,1,2,-2,-2,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-2,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,-2,-2,-2,1,1,1,-2,0,2,2,R,3.79,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2
101277,1,0,-2,0,0,0,0,2,-2,-2,-2,1,0,1,1,0,0,-2,-2,-2,-2,0,-2,-2,-2,7,1,1,-2,2,2,-2,-2,-2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-2,-2,-2,-2,0,1,-2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,-2,-2,-2,0,0,0,-2,1,2,1,A,,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
101286,1,1,-2,0,0,0,1,1,2,0,-2,1,0,1,1,1,0,-2,-2,-2,-2,0,-2,-2,-2,1,1,1,2,1,1,2,-2,-2,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2,1,1,1,0,0,1,1,1,1,1,0,0,1,1,0,-2,-2,-2,1,1,1,-2,0,2,2,R,3.20,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2
101295,1,1,-2,1,1,0,1,1,2,0,-2,1,0,1,1,1,0,-2,-2,-2,-2,0,-2,-2,-2,1,1,1,2,1,1,2,-2,-2,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,-2,-2,-2,1,1,1,-2,0,2,1,A,,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2
